## Primary energy production by region (in TJ/year)
## data from The Shift Project Data Portal 
## (http://www.tsp-data-portal.org, accessed 2016-01-05)
## Missing data assumed zero.
## [SOURCES: Etemad & Luciani (1900-1980), 
##  US EIA Historical Statistics (1981-2010)]
"year","source","region","TJ"
1960,"Gas","Eurasia",1686207.2
1961,"Gas","Eurasia",2195311.3
1962,"Gas","Eurasia",2736648.4
1963,"Gas","Eurasia",3343605.6
1964,"Gas","Eurasia",4040897.3
1965,"Gas","Eurasia",4751811.8
1966,"Gas","Eurasia",5321138.9
1967,"Gas","Eurasia",5860205.6
1968,"Gas","Eurasia",6294049.5
1969,"Gas","Eurasia",6741441.7
1970,"Gas","Eurasia",7367642
1971,"Gas","Eurasia",7905592
1972,"Gas","Eurasia",8240131.3
1973,"Gas","Eurasia",8796207.8
1974,"Gas","Eurasia",9679975
1975,"Gas","Eurasia",10766743.6
1976,"Gas","Eurasia",11946079.9
1977,"Gas","Eurasia",16228315.9
1978,"Gas","Eurasia",13853303.4
1979,"Gas","Eurasia",15133805.4
1980,"Gas","Eurasia",16865140.5
1981,"Gas","Eurasia",17317513.8
1982,"Gas","Eurasia",18635037
1983,"Gas","Eurasia",19949303.2
1984,"Gas","Eurasia",22586802.2
1985,"Gas","Eurasia",24724187.1
1986,"Gas","Eurasia",26191210.1
1987,"Gas","Eurasia",27450164
1988,"Gas","Eurasia",29435489.9
1989,"Gas","Eurasia",30430029.2
1990,"Gas","Eurasia",31156673.7
1991,"Gas","Eurasia",30561764.1
1992,"Gas","Eurasia",29346658.7
1993,"Gas","Eurasia",28707749.6
1994,"Gas","Eurasia",27125373.3
1995,"Gas","Eurasia",26560818.7
1996,"Gas","Eurasia",25560038.8
1997,"Gas","Eurasia",24169028.6
1998,"Gas","Eurasia",24560462.8
1999,"Gas","Eurasia",24959673.5
2000,"Gas","Eurasia",25816986.7
2001,"Gas","Eurasia",26073530.7
2002,"Gas","Eurasia",26664457.6
2003,"Gas","Eurasia",27564115
2004,"Gas","Eurasia",28579711
2005,"Gas","Eurasia",28961416.1
2006,"Gas","Eurasia",29674374.1
2007,"Gas","Eurasia",29986260.6
2008,"Gas","Eurasia",30355920.8
2009,"Gas","Eurasia",26496244.9
2010,"Gas","Eurasia",29024213.7
2011,"Gas","Eurasia",30765571.7
2012,"Gas","Eurasia",30725010.9
2013,"Gas","Eurasia",31740813
2014,"Gas","Eurasia",31097055.8
1955,"Gas","Middle East",27469.8
1956,"Gas","Middle East",34805.6
1957,"Gas","Middle East",43323.3
1958,"Gas","Middle East",41856.7
1959,"Gas","Middle East",54187.8
1960,"Gas","Middle East",108484.9
1961,"Gas","Middle East",116950.6
1962,"Gas","Middle East",139692.3
1963,"Gas","Middle East",165088.3
1964,"Gas","Middle East",207157
1965,"Gas","Middle East",218949.6
1966,"Gas","Middle East",242543
1967,"Gas","Middle East",291040.1
1968,"Gas","Middle East",384846
1969,"Gas","Middle East",573256.8
1970,"Gas","Middle East",950516.8
1971,"Gas","Middle East",1153867.2
1972,"Gas","Middle East",1323539
1973,"Gas","Middle East",1552575.7
1974,"Gas","Middle East",1737550.2
1975,"Gas","Middle East",1766836.5
1976,"Gas","Middle East",1822774
1977,"Gas","Middle East",1944108.3
1978,"Gas","Middle East",2045684.8
1979,"Gas","Middle East",2459619.4
1980,"Gas","Middle East",1573848.7
1981,"Gas","Middle East",1603946.3
1982,"Gas","Middle East",1518251.5
1983,"Gas","Middle East",1676707.3
1984,"Gas","Middle East",2217444
1985,"Gas","Middle East",2634337.3
1986,"Gas","Middle East",2914400.9
1987,"Gas","Middle East",3351841.9
1988,"Gas","Middle East",3660345.6
1989,"Gas","Middle East",4082979.3
1990,"Gas","Middle East",4103246.6
1991,"Gas","Middle East",4259428
1992,"Gas","Middle East",4568753.5
1993,"Gas","Middle East",4892326.7
1994,"Gas","Middle East",5179651.3
1995,"Gas","Middle East",5511270.6
1996,"Gas","Middle East",6109500.8
1997,"Gas","Middle East",6875071.5
1998,"Gas","Middle East",7284655
1999,"Gas","Middle East",7655784
2000,"Gas","Middle East",8363306.7
2001,"Gas","Middle East",8823673.9
2002,"Gas","Middle East",9642549.1
2003,"Gas","Middle East",10171973.8
2004,"Gas","Middle East",11013447.5
2005,"Gas","Middle East",12459245.1
2006,"Gas","Middle East",13223808.7
2007,"Gas","Middle East",13965445.8
2008,"Gas","Middle East",15004871.5
2009,"Gas","Middle East",16327338.4
2010,"Gas","Middle East",18633797
2011,"Gas","Middle East",20506824.3
2012,"Gas","Middle East",21642196.9
2013,"Gas","Middle East",22175416.1
2014,"Gas","Middle East",22959620.1
1900,"Gas","North America",265825.5
1901,"Gas","North America",294581
1902,"Gas","North America",323336.5
1903,"Gas","North America",352092
1904,"Gas","North America",380847.5
1905,"Gas","North America",409603.1
1906,"Gas","North America",438358.6
1907,"Gas","North America",467114.1
1908,"Gas","North America",495869.6
1909,"Gas","North America",524625.1
1910,"Gas","North America",567320.4
1911,"Gas","North America",597475.2
1912,"Gas","North America",627630
1913,"Gas","North America",657784.8
1914,"Gas","North America",687939.6
1915,"Gas","North America",718094.3
1916,"Gas","North America",748249.1
1917,"Gas","North America",778403.9
1918,"Gas","North America",808558.7
1919,"Gas","North America",838713.5
1920,"Gas","North America",868868.2
1921,"Gas","North America",899023
1922,"Gas","North America",929177.8
1923,"Gas","North America",1087146.5
1924,"Gas","North America",1245115.3
1925,"Gas","North America",1403084
1926,"Gas","North America",1561052.8
1927,"Gas","North America",1719021.5
1928,"Gas","North America",1876990.2
1929,"Gas","North America",1961289.7
1930,"Gas","North America",2045589.1
1931,"Gas","North America",2129888.5
1932,"Gas","North America",2214187.9
1933,"Gas","North America",2298487.4
1934,"Gas","North America",2382786.8
1935,"Gas","North America",2467086.2
1936,"Gas","North America",2551385.6
1937,"Gas","North America",2674362.6
1938,"Gas","North America",2897815
1939,"Gas","North America",3121267.5
1940,"Gas","North America",3344719.9
1941,"Gas","North America",3568172.3
1942,"Gas","North America",3791624.7
1943,"Gas","North America",4015077.1
1944,"Gas","North America",4238529.5
1945,"Gas","North America",4461982
1946,"Gas","North America",4685434.4
1947,"Gas","North America",5173973.2
1948,"Gas","North America",5808083.3
1949,"Gas","North America",6112417.2
1950,"Gas","North America",7058956.8
1951,"Gas","North America",8387035.6
1952,"Gas","North America",9017655.5
1953,"Gas","North America",9456610.9
1954,"Gas","North America",9862421.5
1955,"Gas","North America",10646654.9
1956,"Gas","North America",11414441.7
1957,"Gas","North America",12159963.6
1958,"Gas","North America",12746872.1
1959,"Gas","North America",14002546.5
1960,"Gas","North America",14936817.9
1961,"Gas","North America",15564602.4
1962,"Gas","North America",16602698.1
1963,"Gas","North America",17792175
1964,"Gas","North America",18985434.4
1965,"Gas","North America",19753314.8
1966,"Gas","North America",20927914.6
1967,"Gas","North America",22167595.8
1968,"Gas","North America",23735450.2
1969,"Gas","North America",25658230.2
1970,"Gas","North America",27424688.6
1971,"Gas","North America",28317029.5
1972,"Gas","North America",28874649.1
1973,"Gas","North America",29292803.8
1974,"Gas","North America",28084136.9
1975,"Gas","North America",26507366.4
1976,"Gas","North America",26422311.8
1977,"Gas","North America",26692361.3
1978,"Gas","North America",26291912.1
1979,"Gas","North America",27678157.7
1980,"Gas","North America",24966475.7
1981,"Gas","North America",24710797.8
1982,"Gas","North America",23426946.6
1983,"Gas","North America",21403157.3
1984,"Gas","North America",23118118.1
1985,"Gas","North America",22289900
1986,"Gas","North America",21495177.7
1987,"Gas","North America",22398962.4
1988,"Gas","North America",23409507.8
1989,"Gas","North America",23776678
1990,"Gas","North America",24512091
1991,"Gas","North America",24636372.6
1992,"Gas","North America",25266493.3
1993,"Gas","North America",25988080.3
1994,"Gas","North America",27306727.2
1995,"Gas","North America",27290785.4
1996,"Gas","North America",27835704.9
1997,"Gas","North America",27990038.2
1998,"Gas","North America",28571727.6
1999,"Gas","North America",28606119.8
2000,"Gas","North America",29165888.7
2001,"Gas","North America",29858955.8
2002,"Gas","North America",29107225.7
2003,"Gas","North America",29273309.2
2004,"Gas","North America",28483283.8
2005,"Gas","North America",28148705.6
2006,"Gas","North America",29072858.5
2007,"Gas","North America",29651430.4
2008,"Gas","North America",30199705.6
2009,"Gas","North America",30246813.3
2010,"Gas","North America",30866458
2011,"Gas","North America",32364209.9
2012,"Gas","North America",33338271.2
2013,"Gas","North America",33692389.4
2014,"Gas","North America",35538636
1914,"Hydro","Asia and Oceania",4528.8
1915,"Hydro","Asia and Oceania",5760
1916,"Hydro","Asia and Oceania",6706.8
1917,"Hydro","Asia and Oceania",7948.8
1918,"Hydro","Asia and Oceania",9417.6
1919,"Hydro","Asia and Oceania",10324.8
1920,"Hydro","Asia and Oceania",11397.6
1921,"Hydro","Asia and Oceania",12920.4
1922,"Hydro","Asia and Oceania",14493.6
1923,"Hydro","Asia and Oceania",15746.4
1924,"Hydro","Asia and Oceania",21542.4
1925,"Hydro","Asia and Oceania",24861.6
1926,"Hydro","Asia and Oceania",32655.6
1927,"Hydro","Asia and Oceania",37533.6
1928,"Hydro","Asia and Oceania",44294.4
1929,"Hydro","Asia and Oceania",49863.6
1930,"Hydro","Asia and Oceania",52120.8
1931,"Hydro","Asia and Oceania",54036
1932,"Hydro","Asia and Oceania",57283.2
1933,"Hydro","Asia and Oceania",64774.8
1934,"Hydro","Asia and Oceania",64695.6
1935,"Hydro","Asia and Oceania",73440
1936,"Hydro","Asia and Oceania",78004.8
1937,"Hydro","Asia and Oceania",90691.2
1938,"Hydro","Asia and Oceania",91818
1939,"Hydro","Asia and Oceania",89866.8
1940,"Hydro","Asia and Oceania",94273.2
1941,"Hydro","Asia and Oceania",111772.8
1942,"Hydro","Asia and Oceania",103111.2
1943,"Hydro","Asia and Oceania",113454
1944,"Hydro","Asia and Oceania",118357.2
1945,"Hydro","Asia and Oceania",82638
1946,"Hydro","Asia and Oceania",121405.3
1947,"Hydro","Asia and Oceania",126860.4
1948,"Hydro","Asia and Oceania",149220
1949,"Hydro","Asia and Oceania",159966
1950,"Hydro","Asia and Oceania",171410.4
1951,"Hydro","Asia and Oceania",179179.2
1952,"Hydro","Asia and Oceania",190195.2
1953,"Hydro","Asia and Oceania",204296.4
1954,"Hydro","Asia and Oceania",224334
1955,"Hydro","Asia and Oceania",242892
1956,"Hydro","Asia and Oceania",275853.6
1957,"Hydro","Asia and Oceania",302994
1958,"Hydro","Asia and Oceania",332730
1959,"Hydro","Asia and Oceania",356857.2
1960,"Hydro","Asia and Oceania",369680.4
1961,"Hydro","Asia and Oceania",420188.4
1962,"Hydro","Asia and Oceania",415627.2
1963,"Hydro","Asia and Oceania",468914.4
1964,"Hydro","Asia and Oceania",495410.4
1965,"Hydro","Asia and Oceania",556304.4
1966,"Hydro","Asia and Oceania",593600.4
1967,"Hydro","Asia and Oceania",555501.6
1968,"Hydro","Asia and Oceania",592560
1969,"Hydro","Asia and Oceania",613512
1970,"Hydro","Asia and Oceania",646160.4
1971,"Hydro","Asia and Oceania",709628.4
1972,"Hydro","Asia and Oceania",731955.6
1973,"Hydro","Asia and Oceania",706878
1974,"Hydro","Asia and Oceania",789764.4
1975,"Hydro","Asia and Oceania",843098.4
1976,"Hydro","Asia and Oceania",895402.8
1977,"Hydro","Asia and Oceania",837255.6
1978,"Hydro","Asia and Oceania",884952
1979,"Hydro","Asia and Oceania",949669.2
1980,"Hydro","Asia and Oceania",945730.8
1981,"Hydro","Asia and Oceania",1006336.8
1982,"Hydro","Asia and Oceania",1007164.8
1983,"Hydro","Asia and Oceania",1073347.2
1984,"Hydro","Asia and Oceania",1075597.2
1985,"Hydro","Asia and Oceania",1138107.6
1986,"Hydro","Asia and Oceania",1183507.2
1987,"Hydro","Asia and Oceania",1158663.6
1988,"Hydro","Asia and Oceania",1302084
1989,"Hydro","Asia and Oceania",1377910.8
1990,"Hydro","Asia and Oceania",1448132.4
1991,"Hydro","Asia and Oceania",1472752.8
1992,"Hydro","Asia and Oceania",1441566
1993,"Hydro","Asia and Oceania",1564074
1994,"Hydro","Asia and Oceania",1599795.1
1995,"Hydro","Asia and Oceania",1712949.8
1996,"Hydro","Asia and Oceania",1679910.7
1997,"Hydro","Asia and Oceania",1735941.1
1998,"Hydro","Asia and Oceania",1827276.9
1999,"Hydro","Asia and Oceania",1838454.7
2000,"Hydro","Asia and Oceania",1859756.4
2001,"Hydro","Asia and Oceania",2058422.4
2002,"Hydro","Asia and Oceania",2060841.6
2003,"Hydro","Asia and Oceania",2159683.2
2004,"Hydro","Asia and Oceania",2443586.5
2005,"Hydro","Asia and Oceania",2642281.2
2006,"Hydro","Asia and Oceania",2891948.5
2007,"Hydro","Asia and Oceania",3053113.2
2008,"Hydro","Asia and Oceania",3384522.4
2009,"Hydro","Asia and Oceania",3496747.3
2010,"Hydro","Asia and Oceania",3975958.8
2011,"Hydro","Asia and Oceania",4040640
2012,"Hydro","Asia and Oceania",4590878.4
2013,"Hydro","Asia and Oceania",4756181.8
2014,"Hydro","Asia and Oceania",4725744.1
1900,"Hydro","Europe",396
1901,"Hydro","Europe",576
1902,"Hydro","Europe",792
1903,"Hydro","Europe",1080
1904,"Hydro","Europe",1260
1905,"Hydro","Europe",1440
1906,"Hydro","Europe",1980
1907,"Hydro","Europe",2880
1908,"Hydro","Europe",3510
1909,"Hydro","Europe",3960
1910,"Hydro","Europe",4500
1911,"Hydro","Europe",5400
1912,"Hydro","Europe",6300
1913,"Hydro","Europe",7200
1914,"Hydro","Europe",8370
1915,"Hydro","Europe",9450
1916,"Hydro","Europe",11610
1917,"Hydro","Europe",12150
1918,"Hydro","Europe",18543.6
1919,"Hydro","Europe",17478
1920,"Hydro","Europe",19656
1921,"Hydro","Europe",18720
1922,"Hydro","Europe",19404
1923,"Hydro","Europe",35488.8
1924,"Hydro","Europe",39438
1925,"Hydro","Europe",54378
1926,"Hydro","Europe",64825.2
1927,"Hydro","Europe",70092
1928,"Hydro","Europe",76262.4
1929,"Hydro","Europe",126590.4
1930,"Hydro","Europe",99946.8
1931,"Hydro","Europe",134038.8
1932,"Hydro","Europe",131364
1933,"Hydro","Europe",140972.4
1934,"Hydro","Europe",147168
1935,"Hydro","Europe",178718.4
1936,"Hydro","Europe",195483.6
1937,"Hydro","Europe",232513.2
1938,"Hydro","Europe",232862.4
1939,"Hydro","Europe",259696.8
1940,"Hydro","Europe",256932
1941,"Hydro","Europe",271378.8
1942,"Hydro","Europe",236851.2
1943,"Hydro","Europe",281196
1944,"Hydro","Europe",238442.4
1945,"Hydro","Europe",230342.4
1946,"Hydro","Europe",270878.4
1947,"Hydro","Europe",295261.2
1948,"Hydro","Europe",344538
1949,"Hydro","Europe",325231.2
1950,"Hydro","Europe",360709.2
1951,"Hydro","Europe",458028
1952,"Hydro","Europe",485006.4
1953,"Hydro","Europe",496688.4
1954,"Hydro","Europe",538506
1955,"Hydro","Europe",581457.6
1956,"Hydro","Europe",604666.8
1957,"Hydro","Europe",653947.2
1958,"Hydro","Europe",716076
1959,"Hydro","Europe",731923.2
1960,"Hydro","Europe",838630.8
1961,"Hydro","Europe",872553.6
1962,"Hydro","Europe",892501.2
1963,"Hydro","Europe",968882.4
1964,"Hydro","Europe",953186.4
1965,"Hydro","Europe",1086310.8
1966,"Hydro","Europe",1171144.8
1967,"Hydro","Europe",1175878.8
1968,"Hydro","Europe",1219287.6
1969,"Hydro","Europe",1205406
1970,"Hydro","Europe",1258513.2
1971,"Hydro","Europe",1280282.4
1972,"Hydro","Europe",1336093.2
1973,"Hydro","Europe",1354003.2
1974,"Hydro","Europe",1464638.4
1975,"Hydro","Europe",1482512.4
1976,"Hydro","Europe",1383004.8
1977,"Hydro","Europe",1665979.2
1978,"Hydro","Europe",1670032.8
1979,"Hydro","Europe",1761390
1980,"Hydro","Europe",1648864.8
1981,"Hydro","Europe",1670958
1982,"Hydro","Europe",1655571.6
1983,"Hydro","Europe",1705266
1984,"Hydro","Europe",1732467.6
1985,"Hydro","Europe",1716260.4
1986,"Hydro","Europe",1654326
1987,"Hydro","Europe",1767906
1988,"Hydro","Europe",1924261.2
1989,"Hydro","Europe",1675314
1990,"Hydro","Europe",1708077.6
1991,"Hydro","Europe",1711692
1992,"Hydro","Europe",1822442.4
1993,"Hydro","Europe",1883563.2
1994,"Hydro","Europe",1901134.8
1995,"Hydro","Europe",1945670.4
1996,"Hydro","Europe",1897013.4
1997,"Hydro","Europe",1946266.6
1998,"Hydro","Europe",2012524.2
1999,"Hydro","Europe",2038199.2
2000,"Hydro","Europe",2117068.8
2001,"Hydro","Europe",2103253.9
2002,"Hydro","Europe",1939494.7
2003,"Hydro","Europe",1813024.9
2004,"Hydro","Europe",1947670
2005,"Hydro","Europe",1947409.2
2006,"Hydro","Europe",1920196.5
2007,"Hydro","Europe",1935008.7
2008,"Hydro","Europe",2028606.9
2009,"Hydro","Europe",2015382.5
2010,"Hydro","Europe",2214139.5
2011,"Hydro","Europe",1943164.8
2012,"Hydro","Europe",2145549.6
2013,"Hydro","Europe",2227683.1
2014,"Hydro","Europe",2244788.1
1929,"Hydro","Africa",108
1930,"Hydro","Africa",118.8
1931,"Hydro","Africa",140.4
1932,"Hydro","Africa",194.4
1933,"Hydro","Africa",352.8
1934,"Hydro","Africa",619.2
1935,"Hydro","Africa",590.4
1936,"Hydro","Africa",604.8
1937,"Hydro","Africa",835.2
1938,"Hydro","Africa",885.6
1939,"Hydro","Africa",1036.8
1940,"Hydro","Africa",1216.8
1941,"Hydro","Africa",1310.4
1942,"Hydro","Africa",1342.8
1943,"Hydro","Africa",986.4
1944,"Hydro","Africa",1245.6
1945,"Hydro","Africa",1638
1946,"Hydro","Africa",108
1947,"Hydro","Africa",111.6
1949,"Hydro","Africa",118.8
1950,"Hydro","Africa",2761.2
1951,"Hydro","Africa",3081.6
1952,"Hydro","Africa",2610
1953,"Hydro","Africa",4410
1954,"Hydro","Africa",5292
1955,"Hydro","Africa",6044.4
1956,"Hydro","Africa",7052.4
1957,"Hydro","Africa",9993.6
1958,"Hydro","Africa",10692
1959,"Hydro","Africa",11826
1960,"Hydro","Africa",14238
1961,"Hydro","Africa",18226.8
1962,"Hydro","Africa",21960
1963,"Hydro","Africa",22694.4
1964,"Hydro","Africa",25722
1965,"Hydro","Africa",27651.6
1966,"Hydro","Africa",32043.6
1967,"Hydro","Africa",29700
1968,"Hydro","Africa",30585.6
1969,"Hydro","Africa",33094.8
1970,"Hydro","Africa",46069.2
1971,"Hydro","Africa",49816.8
1972,"Hydro","Africa",50882.4
1973,"Hydro","Africa",54324
1974,"Hydro","Africa",54500.4
1975,"Hydro","Africa",56710.8
1976,"Hydro","Africa",59479.2
1977,"Hydro","Africa",60505.2
1978,"Hydro","Africa",58932
1979,"Hydro","Africa",61477.2
1980,"Hydro","Africa",216396
1981,"Hydro","Africa",189309.6
1982,"Hydro","Africa",186386.4
1983,"Hydro","Africa",179586
1984,"Hydro","Africa",161625.6
1985,"Hydro","Africa",167652
1986,"Hydro","Africa",177451.2
1987,"Hydro","Africa",174240
1988,"Hydro","Africa",184014
1989,"Hydro","Africa",188265.6
1990,"Hydro","Africa",197663.9
1991,"Hydro","Africa",204264
1992,"Hydro","Africa",201074.4
1993,"Hydro","Africa",197701.5
1994,"Hydro","Africa",201042
1995,"Hydro","Africa",212835.6
1996,"Hydro","Africa",223274.5
1997,"Hydro","Africa",229509.7
1998,"Hydro","Africa",219717.7
1999,"Hydro","Africa",259530.1
2000,"Hydro","Africa",268318.8
2001,"Hydro","Africa",292485.6
2002,"Hydro","Africa",300222
2003,"Hydro","Africa",294159.6
2004,"Hydro","Africa",311509.6
2005,"Hydro","Africa",318522.5
2006,"Hydro","Africa",330463
2007,"Hydro","Africa",338091.6
2008,"Hydro","Africa",343676.1
2009,"Hydro","Africa",355442.3
2010,"Hydro","Africa",394084.8
2011,"Hydro","Africa",396126
2012,"Hydro","Africa",406720.8
2013,"Hydro","Africa",414922.4
2014,"Hydro","Africa",434920.7
1900,"Hydro","Central and South America",50.4
1901,"Hydro","Central and South America",57.6
1905,"Hydro","Central and South America",226.8
1906,"Hydro","Central and South America",320.4
1907,"Hydro","Central and South America",450
1908,"Hydro","Central and South America",626.4
1909,"Hydro","Central and South America",882
1910,"Hydro","Central and South America",1242
1911,"Hydro","Central and South America",1278
1913,"Hydro","Central and South America",1512
1914,"Hydro","Central and South America",1645.2
1915,"Hydro","Central and South America",1789.2
1916,"Hydro","Central and South America",1944
1917,"Hydro","Central and South America",2113.2
1918,"Hydro","Central and South America",2296.8
1919,"Hydro","Central and South America",2498.4
1920,"Hydro","Central and South America",2718
1921,"Hydro","Central and South America",2926.8
1922,"Hydro","Central and South America",3060
1923,"Hydro","Central and South America",3574.8
1924,"Hydro","Central and South America",3870
1925,"Hydro","Central and South America",4323.6
1926,"Hydro","Central and South America",4683.6
1927,"Hydro","Central and South America",5007.6
1928,"Hydro","Central and South America",5425.2
1929,"Hydro","Central and South America",6865.2
1930,"Hydro","Central and South America",6757.2
1931,"Hydro","Central and South America",6872.4
1932,"Hydro","Central and South America",7297.2
1933,"Hydro","Central and South America",7797.6
1934,"Hydro","Central and South America",8301.6
1935,"Hydro","Central and South America",9064.8
1936,"Hydro","Central and South America",9450
1937,"Hydro","Central and South America",11714.4
1938,"Hydro","Central and South America",11995.2
1939,"Hydro","Central and South America",11653.2
1940,"Hydro","Central and South America",12510
1941,"Hydro","Central and South America",14144.4
1942,"Hydro","Central and South America",15332.4
1943,"Hydro","Central and South America",16563.6
1944,"Hydro","Central and South America",17881.2
1945,"Hydro","Central and South America",19411.2
1946,"Hydro","Central and South America",22752
1947,"Hydro","Central and South America",25473.6
1948,"Hydro","Central and South America",30909.6
1949,"Hydro","Central and South America",32817.6
1950,"Hydro","Central and South America",36093.6
1951,"Hydro","Central and South America",41904
1952,"Hydro","Central and South America",52016.4
1953,"Hydro","Central and South America",54172.8
1954,"Hydro","Central and South America",61599.6
1955,"Hydro","Central and South America",65728.8
1956,"Hydro","Central and South America",75200.4
1957,"Hydro","Central and South America",84895.2
1958,"Hydro","Central and South America",97135.2
1959,"Hydro","Central and South America",99882
1960,"Hydro","Central and South America",105393.6
1961,"Hydro","Central and South America",111045.6
1962,"Hydro","Central and South America",120754.8
1963,"Hydro","Central and South America",126903.6
1964,"Hydro","Central and South America",137142
1965,"Hydro","Central and South America",151351.2
1966,"Hydro","Central and South America",167713.2
1967,"Hydro","Central and South America",173937.6
1968,"Hydro","Central and South America",187833.6
1969,"Hydro","Central and South America",204116.4
1970,"Hydro","Central and South America",239436
1971,"Hydro","Central and South America",262584
1972,"Hydro","Central and South America",296532
1973,"Hydro","Central and South America",331304.4
1974,"Hydro","Central and South America",380894.4
1975,"Hydro","Central and South America",421696.8
1976,"Hydro","Central and South America",463780.8
1977,"Hydro","Central and South America",513054
1978,"Hydro","Central and South America",568519.2
1979,"Hydro","Central and South America",640119.6
1980,"Hydro","Central and South America",725367.6
1981,"Hydro","Central and South America",733784.4
1982,"Hydro","Central and South America",801057.6
1983,"Hydro","Central and South America",866977.2
1984,"Hydro","Central and South America",950544
1985,"Hydro","Central and South America",1028383.2
1986,"Hydro","Central and South America",1112637.6
1987,"Hydro","Central and South America",1161518.4
1988,"Hydro","Central and South America",1208365.2
1989,"Hydro","Central and South America",1238392.8
1990,"Hydro","Central and South America",1305297.8
1991,"Hydro","Central and South America",1378112.6
1992,"Hydro","Central and South America",1404212.8
1993,"Hydro","Central and South America",1513203.6
1994,"Hydro","Central and South America",1601785.6
1995,"Hydro","Central and South America",1658242.5
1996,"Hydro","Central and South America",1728044.4
1997,"Hydro","Central and South America",1816216.2
1998,"Hydro","Central and South America",1851374.4
1999,"Hydro","Central and South America",1857696.4
2000,"Hydro","Central and South America",1966078
2001,"Hydro","Central and South America",1838121.7
2002,"Hydro","Central and South America",1926207.9
2003,"Hydro","Central and South America",2007144.9
2004,"Hydro","Central and South America",2093373.4
2005,"Hydro","Central and South America",2213031.1
2006,"Hydro","Central and South America",2311698.5
2007,"Hydro","Central and South America",2386224.7
2008,"Hydro","Central and South America",2401748.1
2009,"Hydro","Central and South America",2463301.1
2010,"Hydro","Central and South America",2474019.4
2011,"Hydro","Central and South America",2626830
2012,"Hydro","Central and South America",2575242
2013,"Hydro","Central and South America",2473330.1
2014,"Hydro","Central and South America",2469458.6
1913,"Hydro","Eurasia",126
1921,"Hydro","Eurasia",36
1922,"Hydro","Eurasia",43.2
1923,"Hydro","Eurasia",72
1924,"Hydro","Eurasia",108
1925,"Hydro","Eurasia",144
1926,"Hydro","Eurasia",180
1927,"Hydro","Eurasia",921.6
1928,"Hydro","Eurasia",1548
1929,"Hydro","Eurasia",1663.2
1930,"Hydro","Eurasia",1998
1931,"Hydro","Eurasia",2131.2
1932,"Hydro","Eurasia",2923.2
1933,"Hydro","Eurasia",4500
1934,"Hydro","Eurasia",8553.6
1935,"Hydro","Eurasia",13233.6
1936,"Hydro","Eurasia",14446.8
1937,"Hydro","Eurasia",15062.4
1938,"Hydro","Eurasia",18302.4
1939,"Hydro","Eurasia",16938
1940,"Hydro","Eurasia",18406.8
1945,"Hydro","Eurasia",17427.6
1946,"Hydro","Eurasia",21765.6
1947,"Hydro","Eurasia",26218.8
1948,"Hydro","Eurasia",33728.4
1949,"Hydro","Eurasia",41443.2
1950,"Hydro","Eurasia",45687.6
1951,"Hydro","Eurasia",49399.2
1952,"Hydro","Eurasia",53668.8
1953,"Hydro","Eurasia",69123.6
1954,"Hydro","Eurasia",66819.6
1955,"Hydro","Eurasia",83430
1956,"Hydro","Eurasia",104342.4
1957,"Hydro","Eurasia",141944.4
1958,"Hydro","Eurasia",167320.8
1959,"Hydro","Eurasia",171468
1960,"Hydro","Eurasia",183286.8
1961,"Hydro","Eurasia",212839.2
1962,"Hydro","Eurasia",258998.4
1963,"Hydro","Eurasia",273092.4
1964,"Hydro","Eurasia",278499.6
1965,"Hydro","Eurasia",293162.4
1966,"Hydro","Eurasia",330562.8
1967,"Hydro","Eurasia",318855.6
1968,"Hydro","Eurasia",374544
1969,"Hydro","Eurasia",414651.6
1970,"Hydro","Eurasia",447757.2
1971,"Hydro","Eurasia",453956.4
1972,"Hydro","Eurasia",442436.4
1973,"Hydro","Eurasia",440442
1974,"Hydro","Eurasia",475308
1975,"Hydro","Eurasia",453553.2
1976,"Hydro","Eurasia",488646
1977,"Hydro","Eurasia",529250.4
1978,"Hydro","Eurasia",610923.6
1979,"Hydro","Eurasia",619282.8
1980,"Hydro","Eurasia",662490
1981,"Hydro","Eurasia",665974.8
1982,"Hydro","Eurasia",631656
1983,"Hydro","Eurasia",648669.6
1984,"Hydro","Eurasia",731358
1985,"Hydro","Eurasia",738165.6
1986,"Hydro","Eurasia",768517.2
1987,"Hydro","Eurasia",782877.6
1988,"Hydro","Eurasia",822643.2
1989,"Hydro","Eurasia",795592.8
1990,"Hydro","Eurasia",830412
1991,"Hydro","Eurasia",837540
1992,"Hydro","Eurasia",828338.4
1993,"Hydro","Eurasia",864590.4
1994,"Hydro","Eurasia",883947.6
1995,"Hydro","Eurasia",848001.6
1996,"Hydro","Eurasia",764769.6
1997,"Hydro","Eurasia",770425.2
1998,"Hydro","Eurasia",797706
1999,"Hydro","Eurasia",807724.8
2000,"Hydro","Eurasia",813524.4
2001,"Hydro","Eurasia",847126.8
2002,"Hydro","Eurasia",806497.2
2003,"Hydro","Eurasia",801097.2
2004,"Hydro","Eurasia",889308
2005,"Hydro","Eurasia",878523.1
2006,"Hydro","Eurasia",875008.8
2007,"Hydro","Eurasia",877525.1
2008,"Hydro","Eurasia",845344.9
2009,"Hydro","Eurasia",871408.8
2010,"Hydro","Eurasia",876470.4
2011,"Hydro","Eurasia",862851.6
2012,"Hydro","Eurasia",863805.6
2013,"Hydro","Eurasia",905296.1
